,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,am_b value,fw_L_b value,fw_G_b value,wave_lya,flux_lya,error_lya
0,2.1938895710870505e-17,3.877645815194064e-17,5.787509960896569e-17,7.701620212670508e-17,9.587911830849704e-17,2.2556002421118164e-17,3.987789876554347e-17,5.956490752663436e-17,7.934232099059363e-17,9.88800805581266e-17,0.6775171957427023,0.682231130307227,0.6864442151628445,0.6900373514710423,0.6933024871136367,0.7023371599834118,0.7032497122689562,0.7040514180952091,0.7047432821539154,0.7053074206063621,6.045646382250864e-15,-51.57795997054494,-12.841797169640246,4.592974472934653,85.3838502417625,18.04396181652432,,-8.497740881249197,,,,,,,,1.2091329730598572,,,,1214.015869140625,-2.982127192178942e-16,3.3539857733310124e-16
1,2.93735900089094e-17,5.1891420127847e-17,7.742139927597641e-17,1.0301838802691047e-16,1.2818202270476088e-16,3.024015045450626e-17,5.344569617310858e-17,7.978982555909033e-17,1.0625548325421855e-16,1.3237964763320842e-16,0.8601600048165423,0.8664087748542711,0.8720015723589201,0.8767726510665154,0.8811067949749468,0.893071815423832,0.8942948257629219,0.895369451588548,0.8962959703472105,0.8970513361788149,6.951294609709808e-15,-46.42131647305408,-12.683803749911432,7.829862319021836,95.18239292972412,18.144652782591276,,-5.063779129363864,,,,,,,,1.4007688506882927,,,,1214.0694580078125,2.418489499158861e-17,3.3539857733310124e-16
2,3.3336209094120714e-17,5.885158053128942e-17,8.775406967213753e-17,1.167294460070781e-16,1.452040739433579e-16,3.438411612667515e-17,6.074285443889552e-17,9.063387798957388e-17,1.2064535048658244e-16,1.502465796131336e-16,0.9058580000847599,0.9128597669041206,0.9191283484838223,0.924477187896414,0.9293312007845003,0.9427003088559142,0.9440897638005635,0.9453118614386737,0.9463639379341209,0.9472213451633659,8.160942103621658e-15,-42.24886555937584,-12.51204043260766,11.53713974593957,103.92621271357444,18.234269682080193,,-1.9689547428557208,,,,,,,,1.6033495549173984,,,,1214.1229248046875,-5.368673490710067e-17,3.3539857733310124e-16
3,3.7006280210393894e-17,6.524580115964638e-17,9.720286357943605e-17,1.2921183994732361e-16,1.6066815268882065e-16,3.8249642814135625e-17,6.748909663686772e-17,1.0063538109872464e-16,1.339016218946467e-16,1.6664262378864038e-16,0.9255401156686914,0.9331859705839992,0.9400370351311718,0.9458868692417455,0.9511980244566691,0.9657514220284923,0.9672957632657729,0.9686531197228738,0.969821280078763,0.9707721693386028,9.841316618117977e-15,-38.32243300382954,-12.316446415743066,15.607019650421643,112.3882633437759,18.321115720591557,,0.45694980994462453,,,,,,,,1.8021283082925559,,,,1214.1763916015625,2.117428314018469e-16,3.3539857733310124e-16
4,4.089389524238016e-17,7.19951696439852e-17,1.071546023505231e-16,1.4234823307939083e-16,1.7686316776485864e-16,4.238259334238224e-17,7.466822939437421e-17,1.1123422610293642e-16,1.4792350594496463e-16,1.8398968982545419e-16,0.9359662090306377,0.9442692190527328,0.951707533821724,0.9580666254701763,0.9638331658247581,0.9795706230154878,0.98128085608172,0.9827825555992661,0.9840731215755616,0.9851224738150917,1.2232105370833674e-14,-34.72164443827572,-12.089352984949027,20.161592211840183,120.32535332617212,18.402569903124334,,3.155567054612222,,,,,,,,1.9965439832155578,,,,1214.22998046875,1.2938489149802522e-16,3.3539857733310124e-16
5,4.517806134096005e-17,7.938212314560778e-17,1.179841910521729e-16,1.5661242365117526e-16,1.9445537621421261e-16,4.6963672344092046e-17,8.257462192434005e-17,1.2283951713919068e-16,1.6321650494453128e-16,2.028647583386996e-16,0.9394004183578749,0.9483927006854854,0.9564408730547366,0.9633270015956349,0.9695773162962104,0.9865206998731921,0.9884131798046342,0.9900718030290977,0.9914961468581848,0.9926524044780629,,,,,,,,,,,,,,,,,,,,1214.283447265625,-4.3993858958983893e-17,3.3539857733310124e-16
6,5.0045867903760846e-17,8.773327339290519e-17,1.3014510529873876e-16,1.7259405694874108e-16,2.1416355774607844e-16,5.222580636698113e-17,9.155737560642089e-17,1.3598760804682184e-16,1.80498454492411e-16,2.241952565546102e-16,0.9383631462502766,0.9480818987288747,0.9567818892497615,0.9642355904657506,0.9710053161532982,0.9892223507307568,0.9913229258380676,0.9931595069782098,0.9947333916560082,0.9960104773422801,,,,,,,,,,,,,,,,,,,,1214.3370361328125,-1.7340426732454515e-16,3.3539857733310124e-16
7,5.581697920426753e-17,9.743779626793119e-17,1.442389499397467e-16,1.9092966781773277e-16,2.367371291182453e-16,5.852440286374793e-17,1.0213161189516108e-16,1.5128370323649606e-16,2.0047012865826145e-16,2.488237375292315e-16,0.9346868021298769,0.9452007212285706,0.9546315182328957,0.96271047167298,0.970064030093268,0.9896434592634425,0.9919843426246195,0.9940260975297073,0.9957726946536068,0.9971855245944592,,,,,,,,,,,,,,,,,,,,1214.3905029296875,5.986240580341747e-17,3.3539857733310124e-16
8,6.295438924458578e-17,1.0909700645992109e-16,1.608709888317359e-16,2.1242662938633152e-16,2.63058125932116e-16,6.628184983494543e-17,1.1493601808228134e-16,1.6951305059476716e-16,2.240753848481573e-16,2.777440918115723e-16,0.9294624705319627,0.9408730834128661,0.9511203887141662,0.959898422033868,0.9678975606370875,0.9889704691554565,0.9915886223599446,0.993872052198329,0.9958218933236608,0.9973909872549241,,,,,,,,,,,,,,,,,,,,1214.444091796875,5.042845591587551e-16,3.3539857733310124e-16
9,7.22644934950377e-17,1.2352863023895083e-16,1.8097670683183046e-16,2.381073583486414e-16,2.9420066485651094e-16,7.659105655291085e-17,1.308274235221928e-16,1.9173096806723658e-16,2.525279793722388e-16,3.1231565369317303e-16,0.9231430768355561,0.935547562187531,0.9467166948518297,0.9562888982366294,0.9650236059758972,0.9877041571616624,0.9906541626953523,0.9932284743016859,0.9954179148990291,0.997165960561212,,,,,,,,,,,,,,,,,,,,1214.49755859375,7.493339436565028e-16,3.3539857733310124e-16
10,8.511604538651703e-17,1.4206960933042858e-16,2.0593348109897932e-16,2.6940751653060594e-16,3.317539978349126e-16,9.088512350303213e-17,1.515474602916741e-16,2.1959845548505316e-16,2.8764022141442897e-16,3.543919118697686e-16,0.9157997043123148,0.9293475515573788,0.9415476425306455,0.9520373306372197,0.9616002685666901,0.9860041840696969,0.98935760652174,0.9922793056744647,0.9947540512591976,0.9967139235263354,,,,,,,,,,,,,,,,,,,,1214.551025390625,2.1049999584020842e-17,3.3539857733310124e-16
11,1.0400081198914678e-16,1.6713218415087403e-16,2.380879080963016e-16,3.0875420175666314e-16,3.779292636353366e-16,1.1216737547485708e-16,1.7979843077343376e-16,2.560430536351655e-16,3.3207069706831595e-16,4.070062449607958e-16,0.9072825922481355,0.9221584062287348,0.9355373588110132,0.9470722521923571,0.9575721355321141,0.9837770773882623,0.9876319529196983,0.9909762919983744,0.9937988986440658,0.995997283877141,,,,,,,,,,,,,,,,,,,,1214.6046142578125,1.048239006429659e-16,3.3539857733310124e-16
12,1.333647002710926e-16,2.0268225370038593e-16,2.810856341866941e-16,3.5955918332694e-16,4.364466232578194e-16,1.458493806757745e-16,2.2056564154843577e-16,3.054528263722564e-16,3.9038730429525544e-16,4.743045721474082e-16,0.8974668493983151,0.9138100468997744,0.9285607779865013,0.9412908641525795,0.9528964725548049,0.9808303316517984,0.9853080941562037,0.9891836868531909,0.9924273552451164,0.9949008522521332,,,,,,,,,,,,,,,,,,,,1214.6580810546875,8.244667189900249e-16,3.3539857733310124e-16
13,1.8087896469985653e-16,2.558925931990051e-16,3.4173921537345075e-16,4.2808392779473064e-16,5.129906989192008e-16,2.0071147675926286e-16,2.826344105060439e-16,3.7617330272628027e-16,4.704443074472411e-16,5.641093722087652e-16,0.8860004190789657,0.9040572802481773,0.9203872985316414,0.9345055834195958,0.9473884317786027,0.9767386209253384,0.9819949964605824,0.9865715910864943,0.9903677469946975,0.9932123204075016,,,,,,,,,,,,,,,,,,,,1214.711669921875,5.002756580985189e-16,3.3539857733310124e-16
14,2.589353138193657e-16,3.385960134342007e-16,4.309720695864067e-16,5.242716527436519e-16,6.173512978920463e-16,2.9309123217002547e-16,3.809593947991399e-16,4.822942067883716e-16,5.852476172844414e-16,6.880110243869941e-16,0.8725312895584447,0.8925732253004608,0.9107214907335931,0.9264681782261296,0.940865668955029,0.9707582725380599,0.9770352526685717,0.9825720131736513,0.987125792941106,0.9906179724500964,,,,,,,,,,,,,,,,,,,,1214.76513671875,7.649033091995433e-16,3.3539857733310124e-16
15,3.8232122043701005e-16,4.687414400101242e-16,5.66855476665107e-16,6.663216116652084e-16,7.658534691807431e-16,4.44711226838986e-16,5.392291869151682e-16,6.472994712791585e-16,7.574890054093909e-16,8.682055772555327e-16,0.8565196189745781,0.8788881477270386,0.8991737772027599,0.9168269639210285,0.9329723237798494,0.9614119763688634,0.9691790933874708,0.9761918215447432,0.9819864590881906,0.9866807745718568,,,,,,,,,,,,,,,,,,,,1214.8187255859375,5.061922891142086e-16,3.3539857733310124e-16
16,5.748949280623676e-16,6.726607710322803e-16,7.773349062498444e-16,8.838494550439864e-16,9.878735385135081e-16,6.874441116369596e-16,7.947511798693681e-16,9.10133491912428e-16,1.0269116531237336e-15,1.1440413610348815e-15,0.8373076810491619,0.8623729237766729,0.8851697529221784,0.905078660756359,0.9233556561539815,0.9461221618150962,0.9563838668928539,0.9658284355699351,0.9737561222136201,0.9803888014455509,,,,,,,,,,,,,,,,,,,,1214.8721923828125,1.0073619904885545e-15,3.3539857733310124e-16
17,8.718805478101033e-16,9.831403777931432e-16,1.1011096405258747e-15,1.2216715335278784e-15,1.340088070162117e-15,1.0762991879097463e-15,1.1988219819043844e-15,1.3265005552446803e-15,1.457091172659266e-15,1.5885724861365047e-15,0.8138806542014633,0.8421873997434902,0.8679112844377144,0.8904853377700356,0.9112530914155434,0.9211529445235469,0.9355163910103418,0.9489521025158988,0.9605152183437077,0.9702726687226404,,,,,,,,,,,,,,,,,,,,1214.9256591796875,1.4989497375262045e-15,3.3539857733310124e-16
18,1.311569938930906e-15,1.4443453261548379e-15,1.585498112456095e-15,1.7324312983986593e-15,1.87925361368801e-15,1.6761414151237662e-15,1.8198415689306802e-15,1.973598607821628e-15,2.135951122261969e-15,2.3000203662580748e-15,0.7851272038347519,0.8169838690469162,0.8461427948531599,0.8718618732962915,0.8956884154109156,0.8818932351395208,0.9023153778796205,0.9217840518543214,0.9389895518801534,0.9536693426190042,,,,,,,,,,,,,,,,,,,,1214.979248046875,1.7275019907058722e-15,3.3539857733310124e-16
19,1.9418553262292847e-15,2.1014760452220244e-15,2.2711466339368084e-15,2.447296250204797e-15,2.61742150595023e-15,2.5508606096888524e-15,2.736377891177181e-15,2.937180060376628e-15,3.152931941629027e-15,3.373220789577935e-15,0.7489989975063172,0.7849861551726225,0.8181525640274911,0.8476579650598176,0.8751841259549219,0.8242120521091594,0.8521726467619376,0.8796420226378325,0.9046875135951626,0.9266015282091752,,,,,,,,,,,,,,,,,,,,1215.03271484375,2.048463209090379e-15,3.3539857733310124e-16
20,2.7882432420333568e-15,2.9646672295486057e-15,3.1467615066572118e-15,3.3264385743896543e-15,3.494843287674647e-15,3.707550662892472e-15,3.967673089930544e-15,4.255162474576694e-15,4.578152962387431e-15,4.934219852196347e-15,0.7034465642789143,0.7441147886948319,0.7818488534124345,0.8158193285692662,0.847795814420911,0.7455229806674487,0.7812636654496928,0.817781097858103,0.8523975164705094,0.8836051945413728,,,,,,,,,,,,,,,,,,,,1215.0863037109375,2.7151031260514574e-15,3.3539857733310124e-16
21,3.732459176438769e-15,3.9042388489321875e-15,4.080310054146915e-15,4.2569411010250694e-15,4.429723257637719e-15,4.962385952614809e-15,5.36519870664764e-15,5.840901869582412e-15,6.41715049001181e-15,7.112465247714825e-15,0.6462378329152433,0.6919251074220293,0.7348639198928565,0.7740545305442498,0.8104286309958626,0.6477539334219998,0.6899851761194299,0.7343158461084978,0.7782333883847848,0.8195170078079849,,,,,,,,,,,,,,,,,,,,1215.1397705078125,4.113374103950542e-15,3.3539857733310124e-16
22,4.331630859513813e-15,4.545185274735986e-15,4.7673965038598585e-15,4.9958244509780755e-15,5.220576485004899e-15,5.9998066847080234e-15,6.645898883173096e-15,7.449941383779965e-15,8.472827769169332e-15,9.797996306326217e-15,0.5684411290082083,0.6205426655093292,0.6693187623857589,0.7145607500669542,0.7564389531182407,0.5377505831163967,0.5833781406756112,0.6328755488559574,0.6837109719946658,0.7332331550304121,,,,,,,,,,,,,,,,,,,,1215.1932373046875,4.681613779912615e-15,3.3539857733310124e-16
23,4.0400288002802315e-15,4.288436620939998e-15,4.5313927810840676e-15,4.7752610752466784e-15,5.013375223960768e-15,6.612849255937795e-15,7.532184786699302e-15,8.727758764319271e-15,1.0316469967088742e-14,1.2482182592216115e-14,0.428840670314234,0.4889277640480422,0.5460196108015145,0.6003940493424679,0.6513191313614614,0.42660920135819674,0.4726848603176846,0.5236102622156222,0.5771542636820673,0.6315836996828829,,,,,,,,,,,,,,,,,,,,1215.246826171875,4.967589043564612e-15,3.3539857733310124e-16
24,2.459000683497592e-15,2.65636623860221e-15,2.931232215975545e-15,3.238988564675132e-15,3.55220900515165e-15,6.7576760217863334e-15,7.891579478459119e-15,9.419868193255811e-15,1.1520170073440974e-14,1.449288048884223e-14,0.22093851050931426,0.2735422986741634,0.33508100275375585,0.40078159822233456,0.46707929153932076,0.32770078144624426,0.37120343846076226,0.4201883172352298,0.47332404316763227,0.5289081577228961,,,,,,,,,,,,,,,,,,,,1215.30029296875,3.336111895836289e-15,3.3539857733310124e-16
25,1.676928847391384e-15,1.8380588725857566e-15,2.0338612368555346e-15,2.295261064821697e-15,2.6397059442850443e-15,6.561864682922345e-15,7.813511124393625e-15,9.541593643742449e-15,1.1965998817677025e-14,1.5481542983204338e-14,0.14197917714786357,0.17944694120120433,0.22568240712954385,0.2820719961636814,0.3539568736990059,0.2508558691897206,0.28981954554996564,0.3349622728499335,0.38568310637346637,0.4401100831375412,,,,,,,,,,,,,,,,,,,,1215.3538818359375,1.921076653603384e-15,3.3539857733310124e-16
