Wavelength 	Ion	Formation	α Cen A (G2 V)	ϵ Eri (K2 V)	AU Mic (dM1e)	mult	t_uncert
30.392	Heii	4.9	4.7	33	340		TRUE
58.4334	Hei	4.65					TRUE
97.702	Ciii	4.72	5.2	13.5	79.6		
102.572	Hi (Lyβ)	4.5					TRUE
103.193	Ovi	5.43	2.21	14.5	109		
103.634	Cii	4.3	0.188	0.502	3.64		
103.702	Cii	4.3	0.283	1.04	6.76		
103.762	Ovi	5.43	1.06	7.67	55.1		
117.6	Ciii	4.72	2.48	10.9	66	TRUE	
120.651	Siiii	4.45	4.39	12.1	36.9		
121.567	Hi (Lyα)	4.5	234	1632	5336		TRUE
121.8344	Ov	5.31	0.619	2.28	9.52		
123.8821	Nv	5.22	0.666	3.15	23.5		
124.2804	Nv	5.22	0.329	1.54	11		
130.2169	Oi		1.87		9.98		
130.4858	Oi		1.99		25.4		
130.6029	Oi		2.06		25.9		
133.4532	Cii	4.3	3.1	6.3	35.8		
133.5708	Cii	4.3	4.28	16.2	74.8		
135.1657	Cli		0.286	0.663	3.8		
135.5598	Oi		0.437		2.7		
137.1292	Ov	5.31	0.05	0.352	1.82		
139.3755	Siiv	4.78	2.04	7.71	25.6		
140.1156	Oiv	5.15	0.217	0.606	2.08		
140.277	Siiv	4.78	1.09	4.05	15.2		
154.8195	Civ	4.98	4.18	18.7	111		
155.077	Civ	4.98	2.32	9.45	59		
156.1	Ci		1.84		20.2	TRUE	
164.3	Heii	4.9	0.587		137	TRUE	TRUE
166.6153	Oiii	4.84	0.294	0.405	0.676		
167.0787	Alii		1.68		9.67		
189.203	Siiii	4.45		4.19			
190.87	Ciii	4.72					
232.5	Cii	4.3				TRUE	
234	Siii	4		28.7		TRUE	
279.5523	Mgiik	4.2	614	1022	1457		TRUE
280.2697	Mgiih	4.2	307	777	728		TRUE