Star,fx,fxeu,fxel,kt1,kt1eu,kt1el,kt2,kt2eu,kt2el,kt3,kt3eu,kt3el,abd,nh,tel
GJ1132,1.12,0.33,0.27,0.086,0,0,0.86,0,0,0,0,0,0.4,0.1,xmm
GJ15A,8.5,0.7,0.6,0.45,0.07,0.07,0,0,0,0,0,0,0.195,0.05,cxo
GJ163,1.97,0.34,0.34,0.51,0.22,0.22,0,0,0,0,0,0,0.195,0.05,cxo
GJ649,12.5,3.2,1.5,0.14,0.04,0.01,0.62,0.07,0.06,0,0,0,0.4,0.1,xmm
GJ674,134,2,2,0.12,0.01,0.02,0.27,0.01,0.02,0.81,0.05,0.03,0.4,0.1,xmm
GJ676A,9.7,1.7,1.7,0.24,0,0,0,0,0,0,0,0,0.4,0.1,xrt
GJ699,6.3,0.55,0.55,0.54,0.11,0.11,0,0,0,,0,0,0.19,0.05,cxo
GJ729,568,7,7,0.15,0.02,0.02,0.34,0.02,0.02,0.75,0.04,0.03,0.4,0.1,xmm
GJ849,4.74,0.57,0.57,0.32,0.05,0.05,0,0,0,0,0,0,0.195,0.05,cxo
L-980-5,0.81,0.33,0.33,0.43,0,0,0,0,0,0,0,0,1,0.05,cxo-up
LHS-2686,15.3,0.7,0.7,0.9,0,0,0,0,0,0,0,0,0.61,0.05,cxo
TRAPPIST-1,1.15,0.23,0.22,0.2,0,0,0.8,0,0,0,0,0,0.4,0.1,xmm